Patient,AML_Bullinger,AML_HSCR,AML_LI24,AML_LSCR,AML_Marcucci,AML_Metzeler,AML_LSC17
GSM158916,0,0,0,0,0,0,0
GSM158917,0,1,1,0,0,0,0
GSM158918,0,1,0,1,1,0,0
GSM158919,0,1,1,1,1,0,1
GSM158920,0,0,0,0,0,0,0
GSM158921,0,0,0,1,0,0,0
GSM158922,0,1,1,1,1,0,1
GSM158923,0,0,0,1,1,0,0
GSM158924,0,0,0,0,0,0,0
GSM158925,0,0,0,1,1,0,0
GSM158926,1,1,0,1,1,0,1
GSM158927,0,0,0,0,1,0,0
GSM158928,0,0,0,0,1,0,0
GSM158929,0,1,1,1,0,1,1
GSM158930,0,1,1,1,0,1,1
GSM158931,0,1,1,1,1,0,1
GSM158932,0,0,1,0,0,0,1
GSM158933,0,1,1,1,0,1,1
GSM158934,0,1,1,1,1,0,1
GSM158935,0,0,1,1,1,0,1
GSM158936,1,1,0,0,1,0,0
GSM158937,0,0,0,0,0,0,0
GSM158938,0,0,0,0,1,0,0
GSM158939,1,1,1,1,1,0,1
GSM158940,0,0,1,0,0,0,1
GSM158941,0,1,1,1,1,1,1
GSM158942,0,1,0,0,0,0,0
GSM158943,0,0,0,0,0,0,0
GSM158944,0,1,0,1,0,0,1
GSM158945,0,1,0,1,1,0,0
GSM158946,0,0,1,0,0,0,0
GSM158947,0,1,0,0,1,0,1
GSM158948,0,0,0,0,0,0,0
GSM158949,0,1,1,1,1,0,1
GSM158950,0,1,1,1,0,0,1
GSM158951,1,0,0,0,1,0,0
GSM158952,0,1,1,1,0,0,1
GSM158953,0,0,0,1,1,0,1
GSM158954,0,0,0,0,0,0,0
GSM158955,0,0,0,0,0,0,0
GSM158956,0,0,0,0,0,0,0
GSM158957,0,0,0,0,0,0,0
GSM158958,0,1,1,1,0,1,1
GSM158959,0,0,0,0,1,0,0
GSM158960,0,1,1,0,0,0,1
GSM158961,0,1,1,1,0,1,1
GSM158962,0,1,1,1,1,0,1
GSM158963,0,1,1,1,1,0,1
GSM158964,0,0,0,0,0,0,0
GSM158965,0,0,0,1,0,0,1
GSM158966,0,0,1,1,1,0,1
GSM158967,0,1,1,1,0,1,1
GSM158968,0,1,1,1,1,0,1
GSM158969,0,0,0,1,1,0,0
GSM158970,0,1,0,1,1,0,0
GSM158971,0,1,0,0,0,0,1
GSM158972,0,0,0,0,0,0,0
GSM158973,0,1,1,0,1,0,1
GSM158974,0,0,0,0,0,0,0
GSM158975,0,0,0,1,1,0,0
GSM158976,0,0,0,0,0,0,0
GSM158977,0,1,1,1,1,1,1
GSM158978,0,0,0,0,0,0,0
GSM158979,0,1,1,1,1,0,1
GSM158980,0,0,1,1,1,0,0
GSM158981,0,0,0,0,0,0,0
GSM158982,0,1,1,1,1,0,1
GSM158983,0,1,1,1,1,0,1
GSM158984,0,0,0,0,0,0,0
GSM158985,0,0,0,0,0,0,0
GSM158986,0,0,1,0,0,0,0
GSM158987,0,0,0,0,0,0,0
GSM158988,0,0,0,1,1,0,1
GSM158990,0,1,1,1,0,1,1
GSM158991,0,0,0,1,1,0,0
GSM158992,0,0,0,0,0,0,0
GSM158993,0,1,1,1,1,0,0
GSM158994,0,0,0,0,1,0,0
GSM158995,0,0,0,1,1,1,1
GSM158996,0,0,1,1,0,1,1
GSM158997,0,1,1,1,1,0,1
GSM158998,0,0,0,0,1,0,0
GSM158999,0,1,0,1,1,0,0
GSM159000,0,0,0,0,1,0,0
GSM159001,0,0,0,0,0,0,0
GSM159002,0,0,1,1,0,1,1
GSM159003,0,1,1,1,0,1,1
GSM159004,0,0,1,0,0,0,0
GSM159005,0,0,1,1,1,0,0
GSM159006,0,1,0,1,1,0,0
GSM159007,0,0,1,0,0,0,0
GSM159008,0,0,1,0,0,0,0
GSM159009,0,0,1,0,0,0,0
GSM159010,0,1,0,1,1,1,1
GSM159011,1,1,1,0,1,0,1
GSM159012,0,0,0,0,1,0,0
GSM159013,0,1,1,1,0,0,1
GSM159014,0,0,0,0,0,0,1
GSM159015,1,0,0,0,1,0,1
GSM159016,0,1,1,1,0,0,1
GSM159017,0,1,1,0,0,0,0
GSM159018,0,0,1,0,1,0,0
GSM159019,0,1,0,0,0,0,0
GSM159020,0,1,1,1,1,0,1
GSM159021,0,0,0,0,1,0,0
GSM159022,0,1,1,1,0,1,1
GSM159023,0,1,1,1,1,0,1
GSM159024,0,1,1,1,1,1,1
GSM159025,0,1,1,1,0,0,1
GSM159026,0,0,0,1,1,0,0
GSM159027,0,1,1,1,0,1,1
GSM159028,1,1,0,0,1,0,0
GSM159029,0,1,0,0,1,0,0
GSM159030,0,0,0,0,0,0,0
GSM159031,0,1,0,1,1,0,0
GSM159032,0,0,0,0,1,0,0
GSM159033,0,0,0,0,0,0,0
GSM159034,0,0,0,0,1,0,1
GSM159035,0,0,0,0,0,0,0
GSM159036,0,1,1,1,0,0,1
GSM159037,0,0,0,0,1,0,0
GSM159038,0,1,1,1,0,1,1
GSM159039,0,1,1,1,0,0,1
GSM159040,0,1,0,0,1,0,0
GSM159041,0,1,1,0,0,0,1
GSM159042,0,1,1,1,1,0,1
GSM159043,0,1,1,1,1,0,1
GSM159044,1,0,0,0,1,0,0
GSM159045,0,1,1,1,0,1,1
GSM159046,0,1,1,1,0,1,1
GSM159047,0,0,0,0,0,0,0
GSM159048,0,1,1,1,1,0,1
GSM159049,0,0,1,0,0,0,1
GSM159050,0,0,1,1,1,0,0
GSM159051,0,0,0,0,0,0,0
GSM159052,0,1,1,0,1,0,0
GSM159053,1,0,0,0,1,0,0
GSM159054,0,0,0,0,1,0,0
GSM159055,0,1,0,1,1,0,1
GSM159056,0,0,1,0,1,0,1
GSM159057,0,1,0,1,0,0,0
GSM159058,0,1,1,1,0,1,1
GSM159059,0,1,0,1,1,0,0
GSM159060,0,0,0,0,0,0,0
GSM159061,0,0,0,0,1,0,0
GSM159062,0,1,1,1,1,0,1
GSM159063,0,1,0,0,1,0,1
GSM159064,0,0,1,0,0,0,0
GSM159065,0,0,0,0,0,0,1
GSM159066,0,1,1,1,0,0,1
GSM159067,0,1,1,1,0,1,1
GSM159068,0,0,1,0,1,0,1
GSM159069,0,1,0,1,1,0,1
GSM159070,0,1,1,1,0,1,1
GSM159071,0,0,0,0,1,0,0
GSM159072,0,0,0,0,1,0,0
GSM159073,0,1,1,1,0,1,1
GSM159074,1,0,0,0,1,0,1
GSM159075,0,0,1,0,0,0,0
GSM159076,1,0,0,0,0,0,0
GSM159077,0,1,1,1,0,1,1
GSM159078,0,0,1,0,0,0,0
GSM159079,0,1,1,1,1,1,1
GSM159080,0,0,0,0,1,0,0
GSM159081,0,0,0,1,1,0,0
GSM159082,0,0,0,1,0,0,0
GSM159083,0,1,0,1,1,0,0
GSM159084,0,1,1,1,1,0,0
GSM159085,0,1,1,1,0,1,1
GSM159086,0,0,0,1,1,0,1
GSM159087,0,0,0,0,0,0,0
GSM159088,0,1,1,1,1,0,1
GSM159089,0,1,1,1,0,0,1
GSM159090,1,0,0,0,1,0,0
GSM159091,0,0,0,0,0,0,0
GSM159092,1,0,0,0,0,0,0
GSM159093,0,0,0,1,1,0,1
GSM159094,0,0,1,0,0,0,0
GSM159095,0,1,0,0,0,0,0
GSM159096,0,1,1,0,0,0,0
GSM159097,0,0,0,0,1,0,0
GSM159098,0,0,0,0,1,0,0
GSM159099,0,1,1,1,1,1,1
GSM159100,0,1,1,1,0,1,1
GSM159101,0,0,1,1,0,1,1
GSM159102,0,1,0,1,1,0,1
GSM159103,0,1,1,1,1,0,1
GSM159104,0,0,1,0,1,0,0
GSM159105,0,1,0,1,1,0,0
GSM159106,0,1,1,1,0,1,1
GSM159107,0,0,0,0,0,0,0
GSM159108,0,1,0,1,1,0,1
GSM159109,0,0,0,0,1,0,0
GSM159110,0,1,1,1,1,0,1
GSM159111,0,0,0,0,1,0,0
GSM159112,0,1,1,1,1,0,1
GSM159113,0,1,1,1,0,1,1
GSM159115,0,0,0,0,0,0,0
GSM159116,0,1,0,1,0,0,0
GSM159117,0,1,1,0,1,0,1
GSM159118,0,1,0,1,1,0,1
GSM159119,0,0,1,0,0,0,0
GSM159120,0,0,1,0,1,0,0
GSM159121,0,1,1,1,1,1,1
GSM159122,0,0,0,0,0,0,0
GSM159123,0,0,1,0,1,0,0
GSM159124,0,1,0,1,1,0,0
GSM159125,0,1,1,1,0,0,1
GSM159126,0,1,1,1,1,0,1
