,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger,, 
GSM158895,0,1,0,1,1,1,1,1,,
GSM158896,1,1,1,1,1,1,0,0,,
GSM158897,1,0,1,1,1,1,1,0,,
GSM158898,1,1,1,1,1,1,1,1,,
GSM158899,0,1,1,1,1,1,0,0,,
GSM158900,0,1,1,1,0,1,0,0,,
GSM158901,0,0,0,0,0,1,0,0,,
GSM158902,0,0,1,1,1,1,1,0,,
GSM158903,1,1,1,1,1,1,1,0,,
GSM158904,0,1,1,1,0,1,0,0,,
GSM158905,0,0,1,1,0,1,0,0,,
GSM158906,0,0,0,1,0,1,1,0,,
GSM158907,0,0,1,1,1,1,1,0,,
GSM158908,1,0,0,0,0,0,0,0,,
GSM158909,1,1,1,1,1,1,1,0,,
GSM158910,0,0,0,1,0,0,0,0,,
GSM158911,1,1,0,0,1,1,1,0,,
GSM158912,1,1,1,1,1,1,1,0,,
GSM158913,0,0,0,0,0,1,0,0,,
GSM158914,1,1,1,1,1,1,1,0,,
GSM158915,0,1,1,1,0,1,0,0,,
GSM158916,1,1,1,1,1,1,1,0,,
GSM158917,1,1,0,1,1,1,0,1,,
GSM158918,0,1,1,1,0,1,0,1,,
GSM158919,0,0,0,1,0,1,0,0,,
GSM158920,1,1,1,1,1,1,1,0,,
GSM158921,1,1,1,1,0,1,1,0,,
GSM158922,0,0,0,1,0,1,0,0,,
GSM158923,0,1,1,1,0,1,1,0,,
GSM158924,1,1,1,0,1,1,1,0,,
GSM158925,0,1,1,1,0,1,1,0,,
GSM158926,0,0,1,0,0,1,0,0,,
GSM158927,0,1,1,1,1,1,1,0,,
GSM158928,0,1,1,1,1,1,1,0,,
GSM158929,1,0,0,0,0,0,0,0,,
GSM158930,1,0,0,0,0,0,0,0,,
GSM158931,0,0,0,1,0,1,0,0,,
GSM158932,1,0,0,1,1,1,1,1,,
GSM158933,1,0,0,1,0,0,0,0,,
GSM158934,0,0,0,1,0,1,0,0,,
GSM158935,0,0,0,1,0,1,1,0,,
GSM158936,0,1,1,1,1,1,0,0,,
GSM158937,1,1,1,1,1,1,1,0,,
GSM158938,0,1,1,1,1,1,1,1,,
GSM158939,0,0,0,1,0,1,0,0,,
GSM158940,1,0,0,1,1,1,1,1,,
GSM158941,0,0,0,1,0,0,0,0,,
GSM158942,1,1,1,1,1,1,0,1,,
GSM158943,1,1,1,1,1,1,1,0,,
GSM158944,1,0,1,1,0,1,0,0,,
GSM158945,0,1,1,1,0,1,0,0,,
GSM158946,1,1,0,1,1,1,1,1,,
GSM158947,0,0,1,0,1,1,0,0,,
GSM158948,1,1,1,1,1,1,1,0,,
GSM158949,0,0,0,1,0,1,0,0,,
GSM158950,1,0,0,1,0,1,0,0,,
GSM158951,0,1,1,1,1,1,1,0,,
GSM158952,1,0,0,1,0,1,0,1,,
GSM158953,0,0,1,1,0,1,1,0,,
GSM158954,1,1,1,1,1,1,1,1,,
GSM158955,1,1,1,0,1,1,1,1,,
GSM158956,1,1,1,1,1,1,1,1,,
GSM158957,1,1,1,1,1,1,1,0,,
GSM158958,1,0,0,0,0,0,0,0,,
GSM158959,0,1,1,1,1,1,1,0,,
GSM158960,1,0,0,1,1,1,0,0,,
GSM158961,1,0,0,1,0,0,0,0,,
GSM158962,0,0,0,1,0,1,0,0,,
GSM158963,0,0,0,1,0,1,0,1,,
GSM158964,1,1,1,1,1,1,1,0,,
GSM158965,1,0,1,1,0,1,1,0,,
GSM158966,0,0,0,1,0,1,1,0,,
GSM158967,1,0,0,1,0,0,0,0,,
GSM158968,0,0,0,1,0,1,0,0,,
GSM158969,0,1,1,1,0,1,1,1,,
GSM158970,0,1,1,1,0,1,0,0,,
GSM158971,1,0,1,1,1,1,0,1,,
GSM158972,1,1,1,0,1,1,1,0,,
GSM158973,0,0,0,1,1,1,0,0,,
GSM158974,1,1,1,1,1,1,1,1,,
GSM158975,0,1,1,1,0,1,1,0,,
GSM158976,1,1,1,1,1,1,1,1,,
GSM158977,0,0,0,0,0,0,0,0,,
GSM158978,1,1,1,1,1,1,1,0,,
GSM158979,0,0,0,1,0,1,0,0,,
GSM158980,0,1,0,1,0,1,1,1,,
GSM158981,1,1,1,1,1,1,1,1,,
GSM158982,0,0,0,1,0,1,0,0,,
GSM158983,0,0,0,1,0,1,0,0,,
GSM158984,1,1,1,1,1,1,1,0,,
GSM158985,1,1,1,1,1,1,1,0,,
GSM158986,1,1,0,1,1,1,1,1,,
GSM158987,1,1,1,1,1,1,1,1,,
GSM158988,0,0,1,1,0,1,1,0,,
GSM158990,1,0,0,0,0,0,0,0,,
GSM158991,0,1,1,1,0,1,1,0,,
GSM158992,1,1,1,1,1,1,1,1,,
GSM158993,0,1,0,1,0,1,0,0,,
GSM158994,0,1,1,1,1,1,1,0,,
GSM158995,0,0,1,1,0,0,1,0,,
GSM158996,1,0,0,0,0,0,1,0,,
GSM158997,0,0,0,0,0,1,0,0,,
GSM158998,0,1,1,1,1,1,1,0,,
GSM158999,0,1,1,1,0,1,0,0,,
GSM159000,0,1,1,1,1,1,1,0,,
GSM159001,1,1,1,1,1,1,1,1,,
GSM159002,1,0,0,1,0,0,1,0,,
GSM159003,1,0,0,0,0,0,0,0,,
GSM159004,1,1,0,1,1,1,1,1,,
GSM159005,0,1,0,1,0,1,1,0,,
GSM159006,0,1,1,1,0,1,0,0,,
GSM159007,1,1,0,0,1,1,1,0,,
GSM159008,1,1,0,1,1,1,1,1,,
GSM159009,1,1,0,1,1,1,1,1,,
GSM159010,0,0,1,0,0,0,0,0,,
GSM159011,0,0,0,0,1,1,0,0,,
GSM159012,0,1,1,1,1,1,1,0,,
GSM159013,1,0,0,1,0,1,0,0,,
GSM159014,1,0,1,1,1,1,1,0,,
GSM159015,0,0,1,1,1,1,1,0,,
GSM159016,1,0,0,1,0,1,0,0,,
GSM159017,1,1,0,1,1,1,0,1,,
GSM159018,0,1,0,1,1,1,1,1,,
GSM159019,1,1,1,1,1,1,0,0,,
GSM159020,0,0,0,1,0,1,0,0,,
GSM159021,0,1,1,1,1,1,1,0,,
GSM159022,1,0,0,1,0,0,0,0,,
GSM159023,0,0,0,0,0,1,0,0,,
GSM159024,0,0,0,0,0,0,0,0,,
GSM159025,1,0,0,1,0,1,0,0,,
GSM159026,0,1,1,1,0,1,1,0,,
GSM159027,1,0,0,1,0,0,0,0,,
GSM159028,0,1,1,1,1,1,0,0,,
GSM159029,0,1,1,1,1,1,0,1,,
GSM159030,1,1,1,1,1,1,1,1,,
GSM159031,0,1,1,1,0,1,0,0,,
