,Marcucci,LSC07,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM924232,0,0,1,1,0,1,1,1
GSM924233,1,1,0,1,0,1,1,0
GSM924234,1,1,0,1,0,1,1,0
GSM924235,0,0,1,1,0,1,1,1
GSM924236,1,0,1,1,0,1,1,1
GSM924237,1,0,0,1,0,1,1,0
GSM924238,1,1,0,1,0,1,1,0
GSM924239,1,0,1,1,0,1,1,1
GSM924240,0,0,0,1,0,1,1,1
GSM924241,1,0,0,1,0,1,1,0
GSM924242,1,0,0,1,0,1,1,1
GSM924243,0,0,0,1,0,1,0,1
GSM924244,1,0,0,1,0,1,1,1
GSM924245,1,0,0,1,0,1,1,1
GSM924246,0,0,1,1,0,1,1,1
GSM924247,1,0,0,1,0,1,1,1
GSM924248,1,0,1,1,0,1,1,1
GSM924249,1,0,0,1,0,1,1,1
GSM924250,1,1,0,1,0,1,0,0
GSM924251,0,0,0,1,0,1,0,1
GSM924252,0,0,1,1,0,1,0,1
GSM924253,1,1,0,1,0,1,0,0
GSM924254,1,0,1,1,0,1,1,1
GSM924255,1,1,0,1,0,1,1,0
GSM924256,1,1,0,0,0,1,0,0
GSM924257,1,0,1,1,0,1,1,1
GSM924258,0,1,1,0,0,1,0,1
GSM924259,0,1,0,0,0,1,0,0
GSM924260,1,1,1,1,0,1,0,1
GSM924261,0,1,1,0,0,1,0,0
GSM924262,1,0,1,1,0,1,1,1
GSM924263,1,0,0,1,0,1,0,1
GSM924264,0,1,1,0,0,1,0,1
GSM924265,1,0,0,1,0,1,1,0
GSM924266,1,0,1,1,0,1,0,1
GSM924267,1,0,1,1,0,1,0,1
GSM924268,1,0,0,1,0,1,1,1
GSM924269,1,0,0,1,0,1,1,0
GSM924270,1,0,1,1,0,1,1,1
GSM924271,1,0,1,1,0,1,1,0
GSM924272,1,1,0,1,0,1,0,1
GSM924273,1,1,1,1,0,1,1,0
GSM924274,0,1,0,0,0,1,0,0
GSM924275,1,0,1,1,0,1,0,1
GSM924276,1,0,1,1,0,1,0,1
GSM924277,1,0,0,1,0,1,1,1
GSM924278,0,1,1,1,0,1,0,0
GSM924279,1,0,1,1,0,1,1,1
GSM924280,1,1,1,1,0,1,1,1
GSM924281,0,0,0,1,0,1,1,0
GSM924282,0,1,0,1,0,1,0,1
GSM924283,0,0,1,1,0,1,1,1
GSM924284,1,0,1,1,0,1,1,1
GSM924285,1,0,0,1,0,1,0,1
GSM924286,1,1,0,1,0,1,1,1
GSM924287,1,0,1,1,0,1,0,1
GSM924288,1,1,1,1,0,1,1,1
GSM924289,1,0,1,1,0,1,1,1
GSM924290,0,1,0,0,0,1,0,0
GSM924291,0,1,0,1,0,1,0,0
GSM924292,1,0,0,1,0,1,1,1
GSM924293,0,1,1,0,0,1,0,1
GSM924294,1,0,0,1,0,1,0,1
GSM924295,0,0,1,0,0,1,0,1
GSM924296,1,0,1,1,0,1,0,1
GSM924297,0,1,0,1,0,1,1,0
GSM924298,0,1,0,0,0,1,0,0
GSM924299,0,1,0,1,0,1,0,0
GSM924300,0,1,0,0,0,1,0,0
GSM924301,0,1,0,1,0,1,0,0
GSM924302,1,0,1,1,0,1,1,1
GSM924303,0,1,1,0,0,1,0,0
GSM924304,1,0,0,1,0,1,1,1
GSM924305,1,1,1,1,0,1,1,1
GSM924306,0,1,0,1,0,1,0,0
GSM924307,0,0,1,1,0,1,0,1
GSM924308,0,1,1,0,0,1,0,1
GSM924309,0,1,0,1,0,1,0,1
GSM924310,0,1,0,1,0,1,0,1
GSM924311,0,0,0,1,0,1,0,1
GSM924312,0,1,0,0,0,1,0,0
GSM924313,0,0,1,1,0,1,0,0
GSM924314,1,0,1,1,0,1,1,1
GSM924315,1,0,1,1,0,1,1,1
GSM924316,0,1,0,0,0,1,0,0
GSM924317,1,1,1,1,0,1,1,0
GSM924318,0,1,0,1,0,1,0,0
GSM924319,1,0,1,1,0,1,1,1
GSM924320,1,1,1,1,0,1,1,1
GSM924321,1,0,0,1,0,1,1,1
GSM924322,0,1,0,0,0,1,0,0
GSM924323,1,0,0,1,0,1,1,1
GSM924324,1,1,0,1,0,1,0,1
GSM924325,0,1,1,1,0,1,1,0
GSM924326,1,0,1,1,0,1,1,1
GSM924327,0,1,1,0,0,1,0,1
GSM924328,1,1,1,1,0,1,0,0
GSM924329,0,1,0,1,0,1,1,0
GSM924330,1,1,1,1,0,1,1,0
GSM924331,0,1,0,0,0,1,0,0
GSM924332,0,1,0,1,0,1,0,0
GSM924333,0,0,1,1,0,1,0,1
GSM924334,0,1,1,1,0,1,0,0
GSM924335,0,1,0,0,0,1,0,1
GSM924336,0,0,0,1,0,1,1,1
GSM924337,0,1,1,1,0,1,0,1
GSM924338,0,1,0,0,0,1,0,0
GSM924339,0,1,0,0,0,1,0,0
GSM924340,0,0,0,1,0,1,1,1
GSM924341,0,1,0,1,0,1,0,0
GSM924342,0,0,1,1,0,1,0,1
GSM924343,1,0,1,1,0,1,0,1
GSM924344,0,0,0,1,0,1,0,0
GSM924345,0,1,0,0,0,1,0,1
GSM924346,1,0,0,1,0,1,0,1
GSM924347,0,1,0,1,0,1,0,0
GSM924348,1,1,0,1,0,1,0,1
GSM924349,1,1,1,1,0,1,0,1
GSM924350,0,1,1,1,0,1,0,0
GSM924351,0,1,0,0,0,1,0,1
GSM924352,0,1,0,1,0,1,0,1
GSM924353,0,1,0,1,0,1,0,1
GSM924354,1,1,1,1,0,1,1,0
GSM924355,1,0,0,1,0,1,1,1
GSM924356,1,0,1,1,0,1,1,1
GSM924357,0,1,1,1,0,1,1,1
GSM924358,1,1,0,1,0,1,0,0
GSM924359,1,0,0,1,0,1,1,1
GSM924360,1,0,1,1,0,1,1,1
GSM924361,0,1,0,0,0,1,0,0
GSM924362,0,0,1,1,0,1,0,1
GSM924363,1,1,0,1,0,1,0,1
GSM924364,0,1,0,0,0,1,0,0
GSM924365,0,1,0,0,0,1,0,0
GSM924366,0,0,0,1,0,1,1,1
GSM924367,1,1,1,1,0,1,0,1
GSM924368,1,1,1,1,0,1,1,1
GSM924369,1,1,0,1,0,1,0,0
GSM924370,1,0,0,1,0,1,1,1
GSM924371,1,0,1,1,0,1,1,1
GSM924372,1,1,0,1,0,1,0,1
GSM924373,0,1,1,1,0,1,0,1
GSM924374,1,1,0,1,0,1,0,0
GSM924375,0,0,0,1,0,1,1,1
GSM924376,0,1,0,0,0,1,0,1
GSM924377,0,0,1,1,0,1,0,1
GSM924378,0,0,1,1,0,1,0,1
GSM924379,1,0,1,1,0,1,1,1
GSM924380,1,0,1,1,0,1,1,0
GSM924381,1,0,1,1,0,1,1,1
GSM924382,1,1,0,1,0,1,1,0
GSM924383,1,0,0,1,0,1,1,1
GSM924384,1,0,1,1,0,1,1,1
GSM924385,1,0,1,1,0,1,1,1
GSM924386,1,1,0,1,0,1,0,0
GSM924387,0,1,0,0,0,1,0,0
GSM924388,0,1,0,1,0,1,0,0
GSM924389,0,1,0,1,0,1,0,1
GSM924390,1,0,0,1,0,1,1,1
GSM924391,1,0,0,1,0,1,1,1
GSM924392,0,0,1,1,0,1,1,1
GSM924393,0,1,0,0,0,1,0,0
GSM924394,1,1,0,1,0,1,0,1
GSM924395,0,1,0,1,0,1,0,0
GSM924396,0,1,0,0,0,1,0,0
GSM924397,0,1,0,0,0,1,1,0
GSM924398,1,1,0,1,0,1,0,0
GSM924399,0,0,0,0,0,1,0,1
GSM924400,0,0,1,1,0,1,0,1
GSM924401,0,0,1,1,0,1,0,1
GSM924402,1,0,1,1,0,1,0,1
GSM924403,1,1,0,1,0,1,1,0
GSM924404,1,0,0,1,0,1,1,1
GSM924405,0,0,0,1,0,1,1,0
GSM924406,0,0,1,1,0,1,1,1
GSM924407,1,0,1,1,0,1,1,0
GSM924408,0,0,1,1,0,1,1,1
GSM924409,0,1,0,1,0,1,0,0
GSM924410,1,0,0,1,0,1,0,1
GSM924411,0,1,0,1,0,1,0,0
GSM924412,1,1,0,1,0,1,0,1
GSM924413,1,0,0,1,0,1,0,1
GSM924414,1,0,0,1,0,1,1,1
GSM924415,0,1,0,0,0,1,0,0
GSM924416,0,0,1,0,0,1,1,0
GSM924417,0,1,1,0,0,1,0,0
GSM924418,0,1,1,1,0,1,0,1
GSM924419,0,1,0,1,0,1,1,0
GSM924420,0,1,0,0,0,1,1,0
GSM924421,0,1,1,1,0,1,1,0
GSM924422,0,1,1,0,0,1,0,0
GSM924423,1,0,1,1,0,1,1,1
GSM924424,1,1,1,1,0,1,0,1
GSM924425,1,0,0,1,0,1,1,1
GSM924426,0,0,0,1,0,1,1,1
GSM924427,1,0,0,1,0,1,1,1
GSM924428,1,0,1,1,0,1,0,1
GSM924429,1,0,1,1,0,1,0,1
GSM924430,1,0,1,1,0,1,0,1
GSM924431,0,0,1,1,0,1,0,1
GSM924432,1,0,1,1,0,1,1,1
GSM924433,1,0,1,1,0,1,1,1
GSM924434,1,0,0,1,0,1,1,1
GSM924435,1,0,1,1,0,1,1,1
GSM924436,1,0,1,1,0,1,0,1
GSM924437,1,0,1,1,0,1,1,1
GSM924438,1,0,0,1,0,1,0,1
