"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM158856","0","1","1","0","1","0","1"
"GSM158857","0","0","0","0","0","1","0"
"GSM158858","0","0","0","0","0","1","1"
"GSM158859","1","1","1","1","1","1","1"
"GSM158860","1","1","1","1","1","0","1"
"GSM158861","0","0","0","0","0","0","1"
"GSM158862","1","0","0","1","0","0","1"
"GSM158863","0","1","1","1","1","1","1"
"GSM158864","0","0","0","0","0","1","0"
"GSM158865","1","1","1","1","1","1","1"
"GSM158866","0","1","1","1","1","1","1"
"GSM158867","0","1","1","1","1","1","1"
"GSM158868","1","1","0","1","1","1","1"
"GSM158869","0","0","0","0","0","0","1"
"GSM158870","1","0","0","0","0","0","1"
"GSM158871","1","1","1","0","1","1","1"
"GSM158872","0","1","1","0","0","0","1"
"GSM158873","0","1","0","1","1","0","1"
"GSM158874","0","0","0","0","0","0","0"
"GSM158875","0","0","0","0","0","0","0"
"GSM158876","0","1","0","0","1","1","1"
"GSM158877","0","1","1","1","1","1","1"
"GSM158878","1","1","0","1","1","1","1"
"GSM158879","0","0","0","0","0","0","1"
"GSM158880","0","0","0","0","0","1","1"
"GSM158881","1","0","0","0","0","0","1"
"GSM158882","0","1","1","0","0","0","1"
"GSM158883","0","1","0","1","1","1","1"
"GSM158884","0","1","0","1","1","1","1"
"GSM158885","1","1","1","1","0","0","1"
"GSM158886","0","0","0","0","0","1","0"
"GSM158887","0","1","0","0","1","1","0"
"GSM158888","1","1","1","1","1","1","1"
"GSM158889","0","0","1","0","0","1","1"
"GSM158890","0","1","1","0","0","1","1"
"GSM158891","0","1","0","0","1","1","1"
"GSM158892","0","0","0","0","0","1","0"
"GSM158893","0","0","0","1","1","1","1"
"GSM158894","0","0","1","0","0","0","1"
"GSM158895","0","1","0","1","1","0","1"
"GSM158896","0","0","1","1","1","1","1"
"GSM158897","1","1","1","0","1","1","1"
"GSM158898","0","1","1","1","1","1","1"
"GSM158899","0","0","1","1","1","0","1"
"GSM158900","0","0","1","1","0","0","1"
"GSM158901","1","0","0","0","0","0","1"
"GSM158902","1","1","1","0","1","0","1"
"GSM158903","0","1","1","1","1","1","1"
"GSM158904","1","0","1","1","0","0","1"
"GSM158905","0","0","1","0","0","0","1"
"GSM158906","0","1","0","0","0","0","1"
"GSM158907","1","1","1","0","1","0","1"
"GSM158908","0","0","0","0","0","1","0"
"GSM158909","1","1","1","1","1","1","1"
"GSM158910","0","0","0","0","0","0","0"
"GSM158911","0","1","0","1","1","1","1"
"GSM158912","1","1","1","1","1","1","1"
"GSM158913","0","0","0","0","0","0","1"
"GSM158914","0","1","1","1","1","1","1"
"GSM158915","0","0","1","1","0","0","1"
"GSM158916","0","1","1","1","1","1","1"
"GSM158917","0","0","0","1","1","1","1"
"GSM158918","0","0","1","1","0","0","1"
"GSM158919","0","0","0","0","0","0","1"
"GSM158920","1","1","1","1","1","1","1"
"GSM158921","1","1","1","1","0","1","1"
"GSM158922","1","0","0","0","0","0","1"
"GSM158923","1","1","1","1","0","0","1"
"GSM158924","1","1","1","1","1","1","1"
"GSM158925","0","1","1","1","0","0","1"
"GSM158926","1","0","1","0","0","0","1"
"GSM158927","0","1","1","1","1","0","1"
"GSM158928","1","1","1","1","1","0","1"
"GSM158929","0","0","0","0","0","1","0"
"GSM158930","0","0","0","0","0","1","0"
"GSM158931","0","0","0","0","0","0","1"
"GSM158932","0","1","0","0","1","1","1"
"GSM158933","0","0","0","0","0","1","0"
"GSM158934","0","0","0","0","0","0","1"
"GSM158935","0","1","0","0","0","0","1"
"GSM158936","1","0","1","1","1","0","1"
"GSM158937","0","1","1","1","1","1","1"
"GSM158938","0","1","1","1","1","0","1"
"GSM158939","1","0","0","0","0","0","1"
"GSM158940","1","1","0","0","1","1","1"
"GSM158941","0","0","0","0","0","0","0"
"GSM158942","0","0","1","1","1","1","1"
"GSM158943","0","1","1","1","1","1","1"
"GSM158944","1","0","1","0","0","1","1"
"GSM158945","0","0","1","1","0","0","1"
"GSM158946","0","1","0","1","1","1","1"
"GSM158947","1","0","1","0","1","0","1"
"GSM158948","1","1","1","1","1","1","1"
"GSM158949","0","0","0","0","0","0","1"
"GSM158950","1","0","0","0","0","1","1"
"GSM158951","1","1","1","1","1","0","1"
"GSM158952","0","0","0","0","0","1","1"
"GSM158953","0","1","1","0","0","0","1"
"GSM158954","0","1","1","1","1","1","1"
"GSM158955","0","1","1","1","1","1","1"
"GSM158956","0","1","1","1","1","1","1"
"GSM158957","0","1","1","1","1","1","1"
"GSM158958","0","0","0","0","0","1","0"
"GSM158959","1","1","1","1","1","0","1"
"GSM158960","0","0","0","0","1","1","1"
"GSM158961","0","0","0","0","0","1","0"
