"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM768744","1","0","1","1","1","1","1"
"GSM768745","0","0","0","1","1","1","0"
"GSM768746","0","0","0","0","0","0","0"
"GSM768747","0","1","1","0","1","0","0"
"GSM768748","0","1","0","1","0","1","0"
"GSM768749","1","0","1","0","0","0","0"
"GSM768751","1","1","0","1","1","0","0"
"GSM768752","1","1","0","1","0","0","0"
"GSM768753","1","1","0","1","1","1","1"
"GSM768754","0","0","1","0","0","1","0"
