,Marcucci,LSC07,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM924421,1,0,0,0,1,0,0,1
GSM924422,1,0,0,1,1,0,1,1
GSM924423,0,1,0,0,1,0,0,0
GSM924424,0,0,0,0,1,0,1,0
GSM924425,0,1,1,0,1,0,0,0
GSM924426,1,1,1,0,1,0,0,0
GSM924427,0,1,1,0,1,0,0,0
GSM924428,0,1,0,0,1,0,1,0
GSM924429,0,1,0,0,1,0,1,0
GSM924430,0,1,0,0,1,0,1,0
GSM924431,1,1,0,0,1,0,1,0
GSM924432,0,1,0,0,1,0,0,0
GSM924433,0,1,0,0,1,0,0,0
GSM924434,0,1,1,0,1,0,0,0
GSM924435,0,1,0,0,1,0,0,0
GSM924436,0,1,0,0,1,0,1,0
GSM924437,0,1,0,0,1,0,0,0
GSM924438,0,1,1,0,1,0,1,0
