,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM158995,1,1,0,1,1,1,0,1
GSM158996,0,1,1,0,1,1,0,1
GSM158997,1,1,1,0,1,0,1,1
GSM158998,1,0,0,1,0,0,0,1
GSM158999,1,0,0,1,1,0,1,1
GSM159000,1,0,0,1,0,0,0,0
GSM159001,0,0,0,1,0,0,0,1
GSM159002,0,1,1,1,1,1,0,1
GSM159003,0,1,1,0,1,1,1,1
GSM159004,0,0,1,1,0,0,0,1
GSM159005,1,0,1,1,1,0,0,1
GSM159006,1,0,0,1,1,0,1,1
GSM159007,0,0,1,0,0,0,0,0
GSM159008,0,0,1,1,0,0,0,1
GSM159009,0,0,1,1,0,0,0,1
GSM159010,1,1,0,0,1,1,1,1
GSM159011,1,1,1,0,0,0,1,0
GSM159012,1,0,0,1,0,0,0,1
GSM159013,0,1,1,1,1,0,1,1
GSM159014,0,1,0,1,0,0,0,0
GSM159015,1,1,0,1,0,0,0,0
GSM159016,0,1,1,1,1,0,1,1
GSM159017,0,0,1,1,0,0,1,1
GSM159018,1,0,1,1,0,0,0,1
GSM159019,0,0,0,1,0,0,1,1
GSM159020,1,1,1,1,1,0,1,0
GSM159021,1,0,0,1,0,0,0,0
GSM159022,0,1,1,1,1,1,1,1
GSM159023,1,1,1,0,1,0,1,1
GSM159024,1,1,1,0,1,1,1,0
GSM159025,0,1,1,1,1,0,1,1
GSM159026,1,0,0,1,1,0,0,1
GSM159027,0,1,1,1,1,1,1,1
GSM159028,1,0,0,1,0,0,1,0
GSM159029,1,0,0,1,0,0,1,1
GSM159030,0,0,0,1,0,0,0,1
GSM159031,1,0,0,1,1,0,1,1
GSM159032,1,0,0,1,0,0,0,0
GSM159033,0,0,0,0,0,0,0,1
GSM159034,1,1,0,1,0,0,0,1
GSM159035,0,0,0,1,0,0,0,1
GSM159036,0,1,1,0,1,0,1,1
GSM159037,1,0,0,1,0,0,0,0
GSM159038,0,1,1,1,1,1,1,1
GSM159039,0,1,1,1,1,0,1,1
GSM159040,1,0,0,1,0,0,1,0
GSM159041,0,1,1,0,0,0,1,1
GSM159042,1,1,1,1,1,0,1,1
GSM159043,1,1,1,0,1,0,1,1
GSM159044,1,0,0,1,0,0,0,0
GSM159045,0,1,1,0,1,1,1,1
GSM159046,0,1,1,0,1,1,1,1
GSM159047,0,0,0,1,0,0,0,0
GSM159048,1,1,1,1,1,0,1,0
GSM159049,0,1,1,1,0,0,0,0
GSM159050,1,0,1,1,1,0,0,1
GSM159051,0,0,0,1,0,0,0,1
GSM159052,1,0,1,1,0,0,1,0
GSM159053,1,0,0,1,0,0,0,0
GSM159054,1,0,0,1,0,0,0,0
GSM159055,1,1,0,1,1,0,1,0
GSM159056,1,1,1,1,0,0,0,0
GSM159057,0,0,0,1,1,0,1,0
