"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM159063","1","2","1","2","1","2","1"
"GSM159064","2","1","2","1","1","1","1"
"GSM159065","1","1","1","2","1","1","1"
"GSM159066","2","2","2","2","2","1","1"
"GSM159067","2","2","2","2","2","1","2"
"GSM159068","1","1","2","2","1","2","1"
"GSM159069","1","2","1","2","2","2","1"
"GSM159070","2","2","2","2","2","1","2"
"GSM159071","1","1","1","1","1","2","1"
"GSM159072","1","1","1","1","1","2","1"
"GSM159073","2","2","2","2","2","1","2"
"GSM159074","1","1","1","2","1","2","1"
"GSM159075","2","1","2","1","1","1","1"
"GSM159076","1","1","1","1","1","1","1"
"GSM159077","2","2","2","2","2","1","2"
"GSM159078","2","1","2","1","1","1","1"
"GSM159079","2","2","2","2","2","2","2"
"GSM159080","1","1","1","1","1","2","1"
"GSM159081","1","1","1","1","2","2","1"
"GSM159082","1","1","1","1","2","1","1"
"GSM159083","1","2","1","1","2","2","1"
"GSM159084","1","2","2","1","2","2","1"
"GSM159085","2","2","2","2","2","1","2"
"GSM159086","1","1","1","2","2","2","1"
"GSM159087","2","1","1","1","1","1","1"
"GSM159088","1","2","2","2","2","2","1"
"GSM159089","2","2","2","2","2","1","1"
"GSM159090","1","1","1","1","1","2","1"
"GSM159091","2","1","1","1","1","1","1"
"GSM159092","1","1","1","1","1","1","1"
"GSM159093","1","1","1","2","2","2","1"
"GSM159094","2","1","2","1","1","1","1"
"GSM159095","1","2","1","1","1","1","1"
"GSM159096","2","2","2","1","1","1","1"
"GSM159097","1","1","1","1","1","2","1"
"GSM159098","2","1","1","1","1","2","1"
"GSM159099","1","2","2","2","2","2","2"
"GSM159100","2","2","2","2","2","1","2"
"GSM159101","2","1","2","2","2","1","2"
"GSM159102","1","2","1","2","2","2","1"
"GSM159103","1","2","2","2","2","2","1"
"GSM159104","1","1","2","1","1","2","1"
"GSM159105","1","2","1","1","2","2","1"
"GSM159106","2","2","2","2","2","1","2"
"GSM159107","1","1","1","1","1","1","1"
"GSM159108","1","2","1","2","2","2","1"
"GSM159109","2","1","1","1","1","2","1"
"GSM159110","1","2","2","2","2","2","1"
"GSM159111","1","1","1","1","1","2","1"
"GSM159112","2","2","2","2","2","2","1"
"GSM159113","2","2","2","2","2","1","2"
"GSM159115","2","1","1","1","1","1","1"
"GSM159116","1","2","1","1","2","1","1"
"GSM159117","2","2","2","2","1","2","1"
"GSM159118","1","2","1","2","2","2","1"
"GSM159119","2","1","2","1","1","1","1"
